title,location,budget,job_type,experience,rating,skills,page
Staff/Senior Software Engineer – Applied AI (HealthTech),United States,$70.00,Hourly,Expert,5.0,"Artificial Intelligence, Python, API, Machine Learning, JavaScript, Java, C#, TensorFlow",1
Expert AI/ML Engineer Needed for LLM Project Development,United States,$30.00,Hourly,Expert,5.0,"Python, Machine Learning, Artificial Intelligence, TensorFlow, Data Science, LLM Prompt Engineering, LLaMA, Deep Learning, Natural Language Processing, Artificial Neural Network",1
"Senior Backend Engineer – Queue/Scheduler, Telephony, AI Voice Bot Infrastructure",United States,$20.00,Hourly,Expert,5.0,"MongoDB, Python, Node.js, Celery, API, Twilio API, retell ai, vapi, System Architecture",1
AI Engineer Needed for Cloud Infrastructure Platform (Generative & Agentic AI),Pakistan,N/A,Hourly,Intermediate,N/A,"Artificial Intelligence, Python, Google Cloud Platform, Machine Learning, Deep Learning",1
Senior AI Engineer & Automation Specialist,United States,$30.00,Fixed-price,Intermediate,5.0,"Machine Learning, Artificial Intelligence, Data Science, TensorFlow, JavaScript, Amazon Web Services, Python, API, Natural Language Processing",1
AI Engineer Needed for Agentic Workflow Development,Pakistan,$15.00,Hourly,Intermediate,5.0,"LangChain, OpenAI API, Python, JavaScript, Artificial Intelligence, API, Chatbot Development, FastAPI, LLaMA",1
AI engineer,Ukraine,N/A,Hourly,Intermediate,N/A,"Artificial Intelligence, Machine Learning",1
"Next.js Full-Stack Engineer for AI-powered SaaS MVP (Supabase, Stripe, GCP, OpenAI)",United Kingdom,$5.00,Fixed-price,Intermediate,5.0,"Next.js, Tailwind CSS, React, Google Cloud Platform, OpenAI API, JavaScript, TypeScript, PostgreSQL, Supabase, Node.js",1
AI Full-Stack Engineer for Chatbot Development,Canada,$25.00,Hourly,Expert,N/A,"Python, Artificial Intelligence, Node.js, Chatbot Development, API",1
"AI Engineer: Expert in Python, NLP, Generative AI, Spark, Databricks, Azure & OpenAI",Spain,$30.00,Hourly,Intermediate,N/A,"Databricks Platform, Machine Learning, Python, Azure DevOps, Generative AI, Azure OpenAI Service, Cloud Foundry",1
Staff/Senior Software Engineer – Applied AI (HealthTech),United States,$70.00,Hourly,Expert,5.0,"Artificial Intelligence, Python, API, Machine Learning, JavaScript, Java, C#, TensorFlow",2
Expert AI/ML Engineer Needed for LLM Project Development,United States,$30.00,Hourly,Expert,5.0,"Python, Machine Learning, Artificial Intelligence, TensorFlow, Data Science, LLM Prompt Engineering, LLaMA, Deep Learning, Natural Language Processing, Artificial Neural Network",2
"Senior Backend Engineer – Queue/Scheduler, Telephony, AI Voice Bot Infrastructure",United States,$20.00,Hourly,Expert,5.0,"MongoDB, Python, Node.js, Celery, API, Twilio API, retell ai, vapi, System Architecture",2
AI Engineer Needed for Cloud Infrastructure Platform (Generative & Agentic AI),Pakistan,N/A,Hourly,Intermediate,N/A,"Artificial Intelligence, Python, Google Cloud Platform, Machine Learning, Deep Learning",2
Senior AI Engineer & Automation Specialist,United States,$30.00,Fixed-price,Intermediate,5.0,"Machine Learning, Artificial Intelligence, Data Science, TensorFlow, JavaScript, Amazon Web Services, Python, API, Natural Language Processing",2
AI Engineer Needed for Agentic Workflow Development,Pakistan,$15.00,Hourly,Intermediate,5.0,"LangChain, OpenAI API, Python, JavaScript, Artificial Intelligence, API, Chatbot Development, FastAPI, LLaMA",2
AI engineer,Ukraine,N/A,Hourly,Intermediate,N/A,"Artificial Intelligence, Machine Learning",2
"Next.js Full-Stack Engineer for AI-powered SaaS MVP (Supabase, Stripe, GCP, OpenAI)",United Kingdom,$5.00,Fixed-price,Intermediate,5.0,"Next.js, Tailwind CSS, React, Google Cloud Platform, OpenAI API, JavaScript, TypeScript, PostgreSQL, Supabase, Node.js",2
AI Full-Stack Engineer for Chatbot Development,Canada,$25.00,Hourly,Expert,N/A,"Python, Artificial Intelligence, Node.js, Chatbot Development, API",2
"AI Engineer: Expert in Python, NLP, Generative AI, Spark, Databricks, Azure & OpenAI",Spain,$30.00,Hourly,Intermediate,N/A,"Databricks Platform, Machine Learning, Python, Azure DevOps, Generative AI, Azure OpenAI Service, Cloud Foundry",2
"Frontend Engineer Needed to Build Advanced UI for AI-Driven Trading Platform (Tailwind, React)",United States,$5.00,Hourly,Expert,5.0,"Tailwind CSS, Next.js, TypeScript, Front-End Development, UI Animation, React, REST API, web sockets",3
